epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1197.08,0.80517,0.50546,0.94218,0.82195,0.7438,0.78618,0.39613,1.57985,0.90416,1.30901,0.0004754,0.0004754,0.0004754
79,1214.84,0.83952,0.53894,0.93509,0.84283,0.73554,0.7917,0.39522,1.59325,0.87665,1.30188,0.0004556,0.0004556,0.0004556
80,1229.7,0.81879,0.5154,0.94549,0.8436,0.74064,0.78934,0.39181,1.57817,0.89767,1.29526,0.0004358,0.0004358,0.0004358
81,1244.9,0.84061,0.5216,0.93214,0.83948,0.74634,0.78658,0.39162,1.58448,0.87599,1.30713,0.000416,0.000416,0.000416
82,1260.75,0.8089,0.51599,0.93555,0.82492,0.7438,0.78604,0.39711,1.58337,0.89359,1.29972,0.0003962,0.0003962,0.0003962
83,1277.33,0.81447,0.52316,0.94442,0.83476,0.72904,0.77189,0.38191,1.58726,0.94436,1.30232,0.0003764,0.0003764,0.0003764
84,1294.32,0.78527,0.52039,0.9333,0.84321,0.74126,0.78619,0.39307,1.57979,0.90852,1.31388,0.0003566,0.0003566,0.0003566
85,1310.79,0.82968,0.51238,0.93653,0.84436,0.74444,0.79435,0.39467,1.60018,0.8889,1.31447,0.0003368,0.0003368,0.0003368
86,1325.7,0.82659,0.49989,0.91461,0.81884,0.75079,0.77833,0.39336,1.58024,0.88638,1.30616,0.000317,0.000317,0.000317
87,1341.17,0.81693,0.50906,0.9363,0.85526,0.72982,0.78038,0.39643,1.57183,0.89544,1.30485,0.0002972,0.0002972,0.0002972
88,1355.97,0.80669,0.49943,0.92736,0.84653,0.73363,0.78271,0.40066,1.57371,0.88324,1.30501,0.0002774,0.0002774,0.0002774
89,1371.05,0.81894,0.49817,0.93927,0.82698,0.75461,0.78834,0.40034,1.5619,0.87271,1.30803,0.0002576,0.0002576,0.0002576
90,1387.31,0.78737,0.49318,0.91598,0.84252,0.74062,0.7868,0.39858,1.56926,0.87287,1.2966,0.0002378,0.0002378,0.0002378
91,1470.83,0.79201,0.47738,0.91018,0.83524,0.72833,0.77673,0.39767,1.56023,0.88473,1.31459,0.000218,0.000218,0.000218
92,1484.99,0.78841,0.47079,0.91615,0.84158,0.73283,0.77686,0.39228,1.57529,0.88501,1.31686,0.0001982,0.0001982,0.0001982
93,1498.96,0.78069,0.46421,0.9059,0.82188,0.74571,0.77668,0.39415,1.56584,0.88824,1.30587,0.0001784,0.0001784,0.0001784
94,1512.97,0.78916,0.4511,0.92786,0.8376,0.7476,0.78226,0.39787,1.56222,0.87448,1.3146,0.0001586,0.0001586,0.0001586
95,1526.9,0.76177,0.45304,0.90657,0.83058,0.74762,0.7824,0.39771,1.56519,0.87564,1.3149,0.0001388,0.0001388,0.0001388
96,1540.7,0.72341,0.4431,0.89172,0.83163,0.7527,0.78446,0.39522,1.58204,0.89435,1.32183,0.000119,0.000119,0.000119
97,1554.68,0.74968,0.44157,0.89468,0.84163,0.74571,0.78939,0.39807,1.56486,0.89712,1.31442,9.92e-05,9.92e-05,9.92e-05
98,1568.9,0.74209,0.43345,0.88629,0.84148,0.74317,0.79086,0.40035,1.5572,0.88505,1.31664,7.94e-05,7.94e-05,7.94e-05
99,1583.38,0.70108,0.41991,0.89287,0.8437,0.73779,0.78711,0.40042,1.56061,0.88049,1.31919,5.96e-05,5.96e-05,5.96e-05
100,1597.31,0.70525,0.42205,0.88248,0.82883,0.74802,0.78656,0.40159,1.55593,0.87679,1.31327,3.98e-05,3.98e-05,3.98e-05
